day, N_tadpoles, INF_tadpoles, dead_frogs, zspn, zsp, prevzsp, lambda, zspn-inc, N_metamorphs, INF_metamorphs
0,4064,42,0,4200,0,0,0,0,0,0,
1,3842,478,0,3400,50357,0,0,0,0,0,
2,3635,657,0,2808,86846,17597,4.94,0,0,0,
3,3436,711,0,2257,112519,27256,4.13,0,0,0,
4,3242,728,0,1924,132125,31018,4.26,0,0,0,
5,3054,689,0,1496,145141,31989,4.54,0,0,0,
6,2880,624,0,1221,154559,30336,5.09,0,0,0,
7,2714,572,0,1027,161796,27802,5.82,0,0,0,
8,2554,635,0,2735,195150,25071,7.78,2283,0,0,
9,2399,745,0,3700,240953,31880,7.56,1807,0,0,
10,2256,813,0,4293,292619,41494,7.05,1482,0,0,
11,2116,883,0,4752,348082,51858,6.71,1299,0,0,
12,1982,906,0,4313,394305,61444,6.42,1008,0,0,
13,1856,914,0,4493,441708,66198,6.67,963,0,0,
14,1736,892,0,4457,487295,70804,6.88,926,0,0,
15,1622,931,0,5481,547308,73495,7.45,2162,0,0,
16,1512,950,0,6951,627121,80633,7.78,2971,0,0,
17,1404,950,0,8895,731830,93193,7.85,3612,0,0,
18,1303,942,0,10472,854147,113097,7.55,3903,0,0,
19,1208,943,0,11861,990685,135372,7.32,4086,0,0,
20,1118,922,0,12394,1129237,157843,7.15,3988,0,0,
21,1038,904,0,13835,1283320,175868,7.3,4150,0,0,
22,963,873,0,15804,1460478,196926,7.42,5049,0,0,
23,893,839,0,17782,1659015,222079,7.47,6148,0,0,
24,828,809,0,20406,1888977,252440,7.48,7424,0,0,
25,768,760,0,24487,2168538,284133,7.63,8944,0,0,
26,717,713,0,29259,2505790,331746,7.55,10534,0,0,
27,669,666,0,34303,2901955,389350,7.45,11930,0,0,
28,624,624,0,34073,3274693,454243,7.21,11509,0,0,
29,581,581,0,39352,3712688,502153,7.39,13102,0,0,
30,540,540,0,45705,4228849,562612,7.52,15343,0,0,
31,501,501,0,52844,4830870,634121,7.62,18024,0,0,
32,465,465,0,51430,5384810,720909,7.47,18020,0,0,
33,433,433,0,48832,5883871,780714,7.54,17568,0,0,
34,405,405,0,53243,6437936,808046,7.97,19323,0,0,
35,377,377,0,62453,7114633,856176,8.31,22240,0,0,
36,352,352,0,72909,7923611,938018,8.45,26004,0,0,
37,326,326,0,84914,8874766,1046563,8.48,29828,0,0,
38,303,303,0,98266,9985057,1198380,8.33,34487,0,0,
39,281,281,0,111062,11237203,1364112,8.24,38657,0,0,
40,259,259,0,126257,12659433,1547063,8.18,43261,0,0,
41,240,240,0,136112,13502513,1767418,7.64,32253,0,0,
42,221,221,0,146633,14513312,1731208,8.38,36335,0,0,
43,204,204,0,158226,15685703,1755706,8.93,40579,0,0,
44,190,190,0,172061,17035925,1840357,9.26,45934,0,0,
45,177,177,0,194307,18681388,1980006,9.44,53907,0,0,
46,165,165,0,217462,20606036,2185205,9.43,62498,0,0,
47,156,156,0,240040,22787061,2458851,9.27,69855,0,0,
48,147,147,0,264107,25227670,2771015,9.1,74832,0,0,
49,138,138,0,291000,27966670,3131761,8.93,83452,0,0,
50,130,130,0,320210,31029849,3514318,8.83,93951,0,0,
51,122,122,0,358168,34533137,3946346,8.75,108124,0,0,
52,113,113,0,388568,38341799,4443346,8.63,118850,0,0,
53,105,105,0,436855,42720310,4953945,8.62,136460,0,0,
54,100,100,0,493712,47764156,5551945,8.6,156714,0,0,
55,88,88,0,500246,52535167,6305403,8.33,165503,7,7,
56,74,74,0,479906,57093579,6981719,8.18,177755,16,16,
57,63,63,0,472509,60768887,7699624,7.89,172424,22,22,
58,54,54,1,460259,64287371,8338686,7.71,185322,26,26,
59,46,46,3,420604,66933075,9114286,7.34,178598,27,27,
60,37,37,8,373942,68291654,9765459,6.99,171831,25,25,
61,32,32,8,339181,69006677,9792790,7.05,127078,25,25,
62,28,28,16,305737,68750465,9998240,6.88,142304,17,17,
63,22,22,19,243714,68535538,9346842,7.33,101158,18,18,
64,19,19,27,210194,67431060,8930614,7.55,105512,12,12,
65,17,17,33,188185,66045867,7826136,8.44,76086,7,7,
66,16,16,37,176906,64455384,6440943,10.01,43910,2,2,
67,12,12,38,132509,63407233,4850460,13.07,32333,4,4,
68,10,10,39,109851,62768135,3802309,16.51,35327,5,5,
69,8,8,41,88577,62339879,3163211,19.71,40003,5,5,
70,8,8,43,88577,61791656,2734955,22.59,25515,2,2,
71,7,7,44,78175,61382933,2186732,28.07,18650,2,2,
72,6,6,45,66971,61046641,1778009,34.33,17543,2,2,
73,4,4,46,44604,60801748,1441717,42.17,17442,2,2,
74,4,4,46,44604,60729204,1196824,50.74,12469,2,2,
75,0,0,48,0,60592280,1124280,53.89,34331,4,4,
76,0,0,48,0,60679325,987356,61.46,20868,4,4,
77,0,0,48,0,60935122,1074401,56.72,24309,4,4,
78,0,0,48,0,61335808,1330198,46.11,29500,4,4,
79,0,0,48,0,61852002,1730884,35.73,34332,4,4,
80,0,0,48,0,62495660,2247078,27.81,41513,4,4,
81,0,0,52,0,61665174,2890736,21.33,172999,0,0,
82,0,0,52,0,61074631,2060250,29.64,0,0,0,
83,0,0,52,0,60653356,1469707,41.27,0,0,0,
84,0,0,52,0,60352839,1048432,57.56,0,0,0,
85,0,0,52,0,60138456,747915,80.41,0,0,0,
86,0,0,52,0,59985525,533532,112.43,0,0,0,
87,0,0,52,0,59876431,380601,157.32,0,0,0,
88,0,0,52,0,59798608,271507,220.25,0,0,0,
89,0,0,52,0,59743090,193684,308.46,0,0,0,
0,3689,38,0,3800,0,0,0,0,0,0,
1,3489,441,0,3145,46491,0,0,0,0,0,
2,3294,601,0,2520,79080,16489,4.8,0,0,0,
3,3105,655,0,1952,100807,24807,4.06,0,0,0,
4,2927,672,0,1612,116579,27966,4.17,0,0,0,
5,2758,626,0,1364,128559,28483,4.51,0,0,0,
6,2596,558,0,1110,137106,27402,5,0,0,0,
7,2439,525,0,931,143601,25239,5.69,0,0,0,
8,2294,636,0,2555,174828,22830,7.66,2136,0,0,
9,2154,709,0,3300,215139,29702,7.24,1605,0,0,
10,2017,731,0,3181,251118,38282,6.56,1102,0,0,
11,1890,764,0,3347,288040,44085,6.53,914,0,0,
12,1770,772,0,3357,323733,48682,6.65,772,0,0,
13,1653,773,0,3479,360122,52033,6.92,730,0,0,
14,1540,792,0,3574,396874,55485,7.15,720,0,0,
15,1432,795,0,4322,443997,58362,7.61,1700,0,0,
16,1328,825,0,4863,497282,64053,7.76,2080,0,0,
17,1233,855,0,5896,564022,71470,7.89,2402,0,0,
18,1143,849,0,6859,642005,81338,7.89,2623,0,0,
19,1059,835,0,7122,720229,93834,7.68,2541,0,0,
20,982,836,0,8164,811627,104148,7.79,2688,0,0,
21,912,816,0,8550,904673,115264,7.85,2694,0,0,
22,846,779,0,9833,1013548,126938,7.98,3250,0,0,
23,786,740,0,10742,1131987,141611,7.99,3783,0,0,
24,733,708,0,12754,1275562,155957,8.18,4610,0,0,
25,684,673,0,15275,1451104,177969,8.15,5551,0,0,
26,639,633,0,16695,1639981,204399,8.02,5931,0,0,
27,596,592,0,17874,1839141,230732,7.97,6249,0,0,
28,554,554,0,16912,2015139,254856,7.91,5830,0,0,
29,515,515,0,19499,2224757,271938,8.18,6717,0,0,
30,477,477,0,19957,2436075,296509,8.22,6941,0,0,
31,442,442,0,23220,2690605,311548,8.64,8204,0,0,
32,412,412,0,26688,2988811,340852,8.77,9512,0,0,
33,384,384,0,31332,3342431,378170,8.84,11266,0,0,
34,357,357,0,36500,3759355,435985,8.62,12951,0,0,
35,332,332,0,41915,4238684,495945,8.55,14450,0,0,
36,308,308,0,47668,4781604,569292,8.4,16038,0,0,
37,285,285,0,53894,5391790,649958,8.3,18101,0,0,
38,263,263,0,61164,6084451,744106,8.18,20577,0,0,
39,244,244,0,70168,6877081,845006,8.14,24059,0,0,
40,225,225,0,74861,8191599,977243,8.38,27638,0,0,
41,208,208,0,82207,9551163,1273320,7.5,31722,0,0,
42,192,192,0,91452,11018277,1522506,7.24,36401,0,0,
43,178,178,0,96095,11932324,1760706,6.78,25092,0,0,
44,165,165,0,108454,13589047,1752438,7.75,44366,0,0,
45,156,156,0,106740,14590566,1998628,7.3,31634,0,0,
46,147,147,0,126283,16284747,1984431,8.21,50101,0,0,
47,138,138,0,140172,17729580,2188350,8.1,45401,0,0,
48,130,130,0,167263,19975073,2293366,8.71,69375,0,0,
49,122,122,0,185937,21956402,2668290,8.23,61786,0,0,
50,113,113,0,207980,24202160,2875033,8.42,67547,0,0,
51,105,105,0,241865,27323885,3145962,8.69,94610,0,0,
52,100,100,0,267465,30226017,3662029,8.25,84847,0,0,
53,95,95,0,293981,33424475,4006492,8.34,94149,0,0,
54,90,90,0,337730,37779464,4388611,8.61,124538,0,0,
55,75,75,0,318487,41615517,5092698,8.17,124967,10,10,
56,64,64,0,310529,45842446,5695299,8.05,142803,16,16,
57,55,55,1,322228,50820060,6511738,7.8,180150,20,20,
